Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Activity,Links
077500,유니퀘스트,,66.225,50.0,55.1,84.3,75.5,"<a href=""https://m.stock.naver.com/domestic/stock/077500/total"" target=""_blank"">Naver Mobile</a>"
293480,하나제약,,66.225,55.5,73.2,85.3,50.9,"<a href=""https://m.stock.naver.com/domestic/stock/293480/total"" target=""_blank"">Naver Mobile</a>"
035760,CJ ENM,,66.2,66.7,55.2,69.0,73.9,"<a href=""https://m.stock.naver.com/domestic/stock/035760/total"" target=""_blank"">Naver Mobile</a>"
222040,코스맥스엔비티,,66.2,83.3,46.3,52.5,82.7,"<a href=""https://m.stock.naver.com/domestic/stock/222040/total"" target=""_blank"">Naver Mobile</a>"
235980,메드팩토,,66.175,90.5,42.5,81.7,50.0,"<a href=""https://m.stock.naver.com/domestic/stock/235980/total"" target=""_blank"">Naver Mobile</a>"
010950,S-Oil,,66.15,50.0,54.3,72.2,88.1,"<a href=""https://m.stock.naver.com/domestic/stock/010950/total"" target=""_blank"">Naver Mobile</a>"
104540,코렌텍,,66.15,96.3,55.0,74.2,39.1,"<a href=""https://m.stock.naver.com/domestic/stock/104540/total"" target=""_blank"">Naver Mobile</a>"
039980,폴라리스AI,,66.15,66.7,53.7,86.2,58.0,"<a href=""https://m.stock.naver.com/domestic/stock/039980/total"" target=""_blank"">Naver Mobile</a>"
018620,우진비앤지,,66.125,83.3,44.1,77.4,59.7,"<a href=""https://m.stock.naver.com/domestic/stock/018620/total"" target=""_blank"">Naver Mobile</a>"
049180,셀루메드,,66.125,66.7,42.5,70.3,85.0,"<a href=""https://m.stock.naver.com/domestic/stock/049180/total"" target=""_blank"">Naver Mobile</a>"
078340,컴투스,,66.125,66.7,45.0,77.8,75.0,"<a href=""https://m.stock.naver.com/domestic/stock/078340/total"" target=""_blank"">Naver Mobile</a>"
000020,동화약품,,66.1,56.5,53.8,88.2,65.9,"<a href=""https://m.stock.naver.com/domestic/stock/000020/total"" target=""_blank"">Naver Mobile</a>"
013720,THE CUBE&,,66.1,83.3,54.9,69.7,56.5,"<a href=""https://m.stock.naver.com/domestic/stock/013720/total"" target=""_blank"">Naver Mobile</a>"
024830,세원물산,,66.025,52.4,51.1,98.8,61.8,"<a href=""https://m.stock.naver.com/domestic/stock/024830/total"" target=""_blank"">Naver Mobile</a>"
000680,LS네트웍스,,66.025,83.3,58.1,52.5,70.2,"<a href=""https://m.stock.naver.com/domestic/stock/000680/total"" target=""_blank"">Naver Mobile</a>"
225190,LK삼양,,66.025,50.0,59.3,86.2,68.6,"<a href=""https://m.stock.naver.com/domestic/stock/225190/total"" target=""_blank"">Naver Mobile</a>"
024060,흥구석유,,66.02499999999999,50.0,41.8,81.1,91.2,"<a href=""https://m.stock.naver.com/domestic/stock/024060/total"" target=""_blank"">Naver Mobile</a>"
003030,세아제강지주,,65.97500000000001,50.0,64.0,89.3,60.6,"<a href=""https://m.stock.naver.com/domestic/stock/003030/total"" target=""_blank"">Naver Mobile</a>"
083660,CSA 코스믹,,65.925,83.3,42.5,72.8,65.1,"<a href=""https://m.stock.naver.com/domestic/stock/083660/total"" target=""_blank"">Naver Mobile</a>"
308100,형지글로벌,,65.9,82.7,53.1,82.0,45.8,"<a href=""https://m.stock.naver.com/domestic/stock/308100/total"" target=""_blank"">Naver Mobile</a>"
192410,오늘이엔엠,,65.9,82.5,42.5,63.6,75.0,"<a href=""https://m.stock.naver.com/domestic/stock/192410/total"" target=""_blank"">Naver Mobile</a>"
